Src IP,Dst IP
192.168.1.25,115.167.168.149
192.168.1.25,187.151.227.88
192.168.1.25,202.166.186.72
192.168.1.25,22.182.208.17
192.168.1.25,22.241.201.8
209.206.49.216,192.168.1.87
192.168.1.25,64.227.214.131
209.206.49.216,192.168.1.87
192.168.1.214,8.8.8.8
209.206.49.216,192.168.1.87
192.168.1.25,4.227.205.131
8.6.0.1,8.0.6.4
192.168.1.214,8.8.8.8
192.168.1.25,208.168.56.15
192.168.1.25,173.4.96.151
192.168.1.25,17.208.107.64
192.168.1.211,192.168.1.1
209.206.49.216,192.168.1.87
192.168.1.25,181.107.159.22
192.168.1.172,162.254.193.102
209.206.49.216,192.168.1.87
192.168.1.81,108.138.109.12
192.168.1.25,100.228.231.15
192.168.1.25,16.226.166.0
192.168.1.25,191.108.100.158
192.168.1.25,26.131.20.64
192.168.1.211,192.168.1.1
192.168.1.25,77.83.214.158
192.168.1.211,192.168.1.1
192.168.1.25,142.245.171.55
192.168.1.25,27.173.167.171
192.168.1.25,114.81.54.226
192.168.1.25,29.30.93.25
192.168.1.43,54.163.146.218
192.168.1.25,202.53.64.24
192.168.1.102,239.255.255.250
209.206.49.216,192.168.1.87
192.168.1.25,199.227.0.150
192.168.1.7,224.0.0.251
192.168.1.25,93.32.16.14
192.168.1.25,145.15.122.212
192.168.1.25,22.27.93.16
192.168.1.25,145.233.106.11
209.206.49.216,192.168.1.87
192.168.1.25,167.96.146.228
192.168.1.25,182.107.254.73
209.206.49.216,192.168.1.87
192.168.1.89,192.168.1.1
192.168.1.25,3.228.107.254
192.168.1.25,20.159.131.218
192.168.1.25,93.228.55.213
192.168.1.25,101.95.29.225
192.168.1.25,1.96.228.158
192.168.1.172,23.204.152.136
192.168.1.25,1.227.65.131
192.168.1.25,26.228.22.171
192.168.1.25,182.20.248.103
192.168.1.168,192.168.1.1
192.168.1.25,102.107.159.208
192.168.1.25,114.72.53.171
192.168.1.81,192.168.1.1
192.168.1.25,202.228.184.160
192.168.1.25,208.168.69.64
192.168.1.25,49.64.51.241
192.168.1.25,131.182.145.131
192.168.1.25,131.158.225.54
192.168.1.25,182.227.96.231
192.168.1.25,184.183.20.208
192.168.1.25,173.228.216.228
192.168.1.25,171.9.122.199
192.168.1.25,248.109.83.143
192.168.1.25,10.227.240.77
192.168.1.172,23.204.152.136
192.168.1.25,107.182.237.51
192.168.1.9,142.251.32.110
192.168.1.25,53.159.64.143
192.168.1.25,32.208.168.10
192.168.1.214,8.8.8.8
192.168.1.25,107.64.114.222
192.168.1.25,168.244.1.16
192.168.1.25,64.20.11.131
192.168.1.25,244.64.102.109
192.168.1.25,33.27.72.114
192.168.1.25,159.14.168.131
192.168.1.25,135.108.184.64
192.168.1.25,216.107.225.32
192.168.1.86,34.149.100.209
192.168.1.168,192.168.1.1
192.168.1.25,182.106.204.234
192.168.1.25,202.54.7.22
192.168.1.25,39.131.64.208
192.168.1.25,218.25.160.32
192.168.1.25,219.86.20.56
192.168.1.81,192.168.245.2
192.168.1.25,51.64.77.25
192.168.1.25,130.15.208.173
192.168.1.25,214.22.64.56
192.168.1.25,51.108.22.212
192.168.1.25,199.24.51.32
192.168.1.25,33.184.83.239
192.168.1.25,17.131.107.114
158.115.141.166,192.168.1.87
192.168.1.25,84.131.239.190
18.197.213.150,192.168.1.9
192.168.1.25,32.15.143.29
192.168.1.25,114.57.231.26
192.168.1.81,3.33.190.236
192.168.1.214,8.8.8.8
192.168.1.25,22.227.96.160
192.168.1.25,26.131.158.182
192.168.1.25,16.114.16.20
192.168.1.25,114.225.254.77
192.168.1.25,114.25.56.227
192.168.1.25,244.107.64.146
192.168.1.25,96.212.146.32
192.168.1.25,131.242.218.159
192.168.1.25,25.160.131.131
192.168.1.25,131.131.20.182
192.168.1.25,183.185.109.55
192.168.1.25,183.8.22.102
192.168.1.25,54.15.41.33
192.168.1.9,142.250.80.67
192.168.1.25,77.143.143.227
192.168.1.25,125.51.199.53
192.168.1.25,208.228.26.227
192.168.1.25,69.22.212.234
192.168.1.25,107.227.77.77
192.168.1.215,185.199.108.133
192.168.1.25,64.16.159.131
192.168.1.25,55.239.51.29
192.168.1.25,208.7.208.33
192.168.1.25,64.107.30.15
192.168.1.25,22.30.145.11
192.168.1.25,208.228.182.99
192.168.1.25,32.73.158.228
192.168.1.211,192.168.1.1
192.168.1.25,167.131.108.182
192.168.1.25,190.100.207.173
192.168.1.25,202.124.77.131
192.168.1.25,143.198.89.77
192.168.1.25,131.233.225.234
192.168.1.25,159.208.183.119
192.168.1.25,20.202.84.212
192.168.1.25,32.146.182.91
192.168.1.25,183.72.102.228
192.168.1.25,64.182.184.183
192.168.1.25,88.77.4.54
192.168.1.25,54.7.149.248
192.168.1.25,56.171.136.106
192.168.1.25,64.212.231.199
192.168.1.214,8.8.8.8
192.168.1.25,82.206.202.168
192.168.1.11,239.255.255.250
192.168.1.81,18.214.52.141
192.168.1.25,118.15.245.131
192.168.1.25,77.145.208.213
192.168.1.25,22.109.227.51
192.168.1.25,10.26.14.216
192.168.1.25,167.93.214.136
192.168.1.25,64.167.227.234
192.168.1.25,145.231.107.146
192.168.1.25,199.204.204.55
192.168.1.25,55.77.29.244
192.168.1.182,10.45.197.174
192.168.1.25,159.26.101.159
192.168.1.25,124.153.85.29
192.168.1.25,204.77.182.29
192.168.1.25,100.109.213.55
192.168.1.172,157.240.241.20
192.168.1.211,192.168.1.1
192.168.1.25,24.106.64.206
192.168.1.25,107.208.245.244
192.168.1.102,142.250.138.188
192.168.1.25,131.228.204.212
192.168.1.25,244.96.228.173
192.168.1.25,191.234.93.16
192.168.1.25,131.55.102.55
192.168.1.25,145.37.138.64
192.168.1.25,244.231.96.107
192.168.1.25,158.83.244.229
192.168.1.25,158.41.219.4
192.168.1.25,93.77.227.227
192.168.1.25,182.100.4.168
192.168.1.25,30.191.158.213
192.168.1.25,93.228.199.182
192.168.1.25,96.171.184.51
192.168.1.11,34.117.13.189
192.168.1.25,101.22.160.228
192.168.1.25,57.41.218.216
192.168.1.25,135.213.208.7
192.168.1.25,159.200.109.26
192.168.1.211,192.168.1.1
192.168.1.25,72.227.96.150
192.168.1.25,107.96.15.208
192.168.1.211,192.168.1.1
192.168.1.25,10.26.228.30
192.168.1.25,25.204.1.102
192.168.1.25,15.227.20.64
192.168.1.25,102.51.234.16
192.168.1.25,15.99.201.160
192.168.1.25,107.29.26.22
192.168.1.25,101.234.208.244
192.168.1.25,57.72.3.102
192.168.1.214,8.8.8.8
192.168.1.25,201.190.100.29
192.168.1.25,131.69.254.26
192.168.1.25,29.84.168.121
192.168.1.25,10.93.207.228
192.168.1.25,145.183.228.131
192.168.1.25,22.182.22.96
192.168.1.25,244.16.51.136
192.168.1.25,51.114.168.182
192.168.1.25,159.107.107.146
192.168.1.25,77.184.201.56
192.168.1.25,96.212.218.102
192.168.1.25,64.46.107.218
192.168.1.25,77.25.125.204
192.168.1.211,192.168.1.1
192.168.1.25,219.228.64.107
192.168.1.211,192.168.1.1
192.168.1.182,204.79.197.239
192.168.1.214,8.8.8.8
192.168.1.25,170.93.22.254
192.168.1.81,162.159.200.1
54.156.230.89,192.168.1.81
192.168.1.25,244.4.208.239
192.168.1.211,192.168.1.1
192.168.1.25,214.11.55.142
192.168.1.25,125.64.16.51
192.168.1.25,96.20.10.228
192.168.1.25,212.96.131.184
192.168.1.25,11.30.107.168
192.168.1.25,168.16.125.227
192.168.1.25,213.173.19.208
192.168.1.25,131.83.228.4
192.168.1.25,20.146.55.184
192.168.1.25,18.186.56.173
192.168.1.25,208.129.131.227
192.168.1.25,214.212.55.25
192.168.1.25,219.45.121.107
192.168.1.25,37.213.114.168
192.168.1.25,182.51.225.213
192.168.1.25,20.167.153.20
192.168.1.25,184.158.4.131
192.168.1.25,106.214.55.30
192.168.1.25,45.10.107.225
192.168.1.25,168.143.159.228
192.168.1.25,216.101.96.93
192.168.1.25,191.25.7.187
192.168.1.25,20.208.241.227
192.168.1.25,107.201.114.234
192.168.1.25,102.3.159.213
192.168.1.25,25.222.208.96
192.168.1.81,239.255.255.250
192.168.1.25,143.77.114.26
192.168.1.81,108.138.109.12
192.168.1.182,10.210.103.23
192.168.1.25,25.1.182.228
192.168.1.25,153.225.190.106
192.168.1.25,254.131.37.114
192.168.1.25,218.93.4.228
192.168.1.25,106.22.39.125
192.168.1.25,32.96.205.213
192.168.1.25,131.96.55.25
192.168.1.25,150.16.63.229
192.168.1.25,3.64.228.242
192.168.1.25,16.184.170.234
192.168.1.25,99.22.182.183
192.168.1.9,192.168.1.1
192.168.1.25,10.146.241.53
192.168.1.25,10.231.16.219
192.168.1.9,192.168.1.1
192.168.1.9,192.168.1.1
192.168.1.25,131.170.168.160
192.168.1.9,192.168.1.1
192.168.1.9,192.168.1.1
192.168.1.9,192.168.1.1
192.168.1.25,196.93.122.114
192.168.1.25,114.102.214.93
192.168.1.25,15.216.228.168
192.168.1.25,51.109.77.131
192.168.1.25,212.114.145.101
192.168.1.25,218.228.107.183
192.168.1.25,218.51.227.124
192.168.1.25,159.229.124.227
192.168.1.25,168.96.190.234
129.0.0.1,8.6.0.1
192.168.1.9,192.168.1.1
192.168.1.9,192.168.1.1
192.168.1.172,23.204.152.136
192.168.1.25,15.22.254.207
192.168.1.25,55.131.56.208
192.168.1.25,25.114.22.7
192.168.1.25,96.225.234.131
192.168.1.25,20.184.64.200
192.168.1.172,157.240.241.55
192.168.1.25,206.91.55.225
192.168.1.25,89.55.171.225
192.168.1.25,77.184.30.96
192.168.1.25,146.131.18.227
192.168.1.25,204.131.96.131
192.168.1.25,25.184.16.206
192.168.1.25,136.227.228.160
192.168.1.25,214.54.64.171
192.168.1.25,131.83.138.106
192.168.1.25,159.77.180.32
192.168.1.25,4.234.125.234
192.168.1.25,64.227.77.102
192.168.1.1,192.168.1.9
192.168.1.25,3.143.29.227
192.168.1.25,77.96.208.153
192.168.1.25,22.216.254.205
192.168.1.25,55.1.16.231
192.168.1.182,192.229.211.108
192.168.1.25,19.244.227.25
192.168.1.25,22.26.213.77
192.168.1.25,51.22.109.199
192.168.1.25,51.1.225.106
192.168.1.214,8.8.8.8
192.168.1.25,100.228.103.204
192.168.1.25,102.39.184.51
192.168.1.25,184.22.228.227
192.168.1.211,192.168.1.1
192.168.1.25,16.244.253.15
192.168.1.25,159.228.143.115
20.37.135.94,192.168.1.182
198.252.206.25,192.168.1.48
192.168.1.25,121.158.237.26
192.168.1.25,73.184.196.218
192.168.1.25,25.206.100.182
192.168.1.172,54.160.208.87
192.168.1.25,64.171.167.64
192.168.1.25,159.227.227.131
192.168.1.25,77.91.212.26
192.168.1.25,20.83.130.227
192.168.1.25,93.242.168.39
192.168.1.25,53.207.242.208
192.168.1.25,218.119.105.82
192.168.1.25,96.101.109.82
192.168.1.11,224.0.0.22
192.168.1.25,219.121.228.125
192.168.1.25,93.136.183.26
192.168.1.25,167.159.96.145
192.168.1.25,244.207.126.244
192.168.1.25,1.125.190.159
192.168.1.25,131.93.199.29
192.168.1.25,32.96.93.100
192.168.1.211,192.168.1.1
192.168.1.25,37.26.227.244
192.168.1.25,130.244.136.229
192.168.1.25,191.225.64.4
192.168.1.25,109.53.227.105
192.168.1.211,192.168.1.1
192.168.1.25,170.159.182.125
192.168.1.25,159.234.227.131
192.168.1.25,77.234.182.227
192.168.1.25,136.162.227.32
192.168.1.25,173.136.228.222
192.168.1.25,184.234.4.109
192.168.1.11,173.194.195.206
192.168.1.25,214.228.145.146
192.168.1.25,25.100.227.11
192.168.1.182,10.210.186.6
192.168.1.25,64.77.1.182
192.168.1.25,131.30.145.239
192.168.1.25,93.22.22.1
192.168.1.25,25.228.77.228
192.168.1.25,214.146.200.167
192.168.1.25,45.183.118.228
192.168.1.25,244.145.180.171
192.168.1.182,172.64.147.52
192.168.1.25,208.65.114.190
192.168.1.25,64.208.159.15
192.168.1.81,192.168.1.1
192.168.1.25,135.1.55.64
192.168.1.108,192.168.1.1
192.168.1.25,184.114.234.222
192.168.1.211,192.168.1.1
192.168.1.25,20.136.54.106
192.168.1.25,16.107.160.103
192.168.1.252,224.0.0.251
192.168.1.25,116.168.218.22
192.168.1.25,106.64.150.213
192.168.1.25,51.225.168.227
192.168.1.48,172.64.41.4
100.21.156.247,192.168.1.183
192.168.1.25,106.20.107.16
192.168.1.25,100.77.100.95
192.168.1.25,77.107.20.56
192.168.1.25,108.26.114.228
192.168.1.25,191.244.166.182
192.168.1.25,4.64.182.64
192.168.1.25,10.107.244.93
44.199.80.228,192.168.1.43
192.168.1.172,230.0.0.1
192.168.1.25,135.106.240.159
192.168.1.182,192.229.211.108
192.168.1.25,136.56.228.16
192.168.1.25,16.182.102.159
192.168.1.25,136.109.29.77
192.168.1.182,20.190.152.20
192.168.1.25,143.103.64.107
192.168.1.182,10.210.170.141
192.168.1.25,9.22.25.96
192.168.1.25,219.180.233.180
192.168.1.25,244.16.107.107
192.168.1.214,8.8.8.8
192.168.1.25,208.125.10.33
192.168.1.211,192.168.1.1
192.168.1.25,20.74.105.228
192.168.1.25,107.208.51.55
192.168.1.25,146.159.143.198
192.168.1.25,202.107.20.126
192.168.1.25,244.10.4.26
192.168.1.25,159.208.26.16
192.168.1.25,102.100.131.213
192.168.1.25,207.234.25.107
192.168.1.25,107.32.16.244
192.168.1.25,159.218.167.231
192.168.1.25,96.233.216.226
192.168.1.172,20.25.241.18
192.168.1.25,212.226.106.228
192.168.1.25,7.228.228.158
192.168.1.172,52.206.235.146
192.168.1.25,182.81.228.228
192.168.1.25,83.8.55.96
192.168.1.172,224.0.0.251
192.168.1.214,8.8.8.8
192.168.1.25,196.206.26.99
192.168.1.25,135.10.4.109
192.168.1.25,213.4.77.83
192.168.1.25,191.228.182.151
192.168.1.25,218.168.26.65
192.168.1.25,30.96.225.10
192.168.1.25,131.231.228.207
192.168.1.25,183.24.26.51
192.168.1.25,9.17.15.225
192.168.1.25,105.64.56.234
192.168.1.25,216.229.53.159
192.168.1.25,114.102.233.64
192.168.1.25,51.83.107.64
192.168.1.25,93.25.216.214
192.168.1.25,159.228.72.95
192.168.1.25,131.106.19.77
192.168.1.25,206.20.241.208
192.168.1.25,219.228.101.191
192.168.1.25,55.146.228.64
192.168.1.25,4.101.159.159
192.168.1.172,157.240.14.10
192.168.1.25,114.91.226.182
192.168.1.7,54.230.163.60
192.168.1.214,8.8.8.8
192.168.1.25,107.18.55.25
192.168.1.25,159.16.65.93
192.168.1.182,13.107.21.239
192.168.1.25,244.37.239.107
192.168.1.25,170.146.96.219
192.168.1.211,192.168.1.1
192.168.1.25,64.228.51.51
192.168.1.25,131.15.16.74
192.168.1.86,34.117.65.55
192.168.1.25,145.228.25.86
192.168.1.25,16.77.9.1
192.168.1.25,15.108.184.26
192.168.1.25,26.171.184.51
192.168.1.25,167.72.46.1
192.168.1.25,173.166.146.136
192.168.1.182,224.0.0.251
192.168.1.25,25.54.136.22
192.168.1.25,100.51.107.234
192.168.1.25,65.53.25.109
192.168.1.25,16.55.202.226
192.168.1.25,208.4.225.234
192.168.1.25,32.24.77.77
192.168.1.25,100.115.227.225
192.168.1.108,224.0.0.251
192.168.1.25,63.107.254.57
192.168.1.25,77.10.54.206
192.168.1.25,30.228.201.158
192.168.1.25,14.204.150.118
192.168.1.87,158.115.133.213
192.168.1.25,214.143.108.72
192.168.1.25,77.244.208.202
192.168.1.25,145.4.225.125
192.168.1.25,125.135.109.96
192.168.1.25,166.11.173.242
192.168.1.25,10.239.212.10
192.168.1.25,96.72.208.16
192.168.1.25,4.168.64.131
192.168.1.25,254.64.91.168
192.168.1.25,93.122.136.199
192.168.1.25,158.228.1.228
192.168.1.211,192.168.1.1
192.168.1.25,204.10.51.7
192.168.1.25,77.228.131.182
192.168.1.25,136.116.83.159
192.168.1.25,24.213.77.86
192.168.1.25,174.77.228.159
192.168.1.25,131.19.106.142
192.168.1.25,51.108.108.190
192.168.1.25,20.167.159.171
192.168.1.25,111.77.204.4
192.168.1.25,26.184.91.20
192.168.1.25,106.32.184.100
192.168.1.25,170.16.218.231
192.168.1.9,142.251.16.188
192.168.1.1,192.168.1.9
192.168.1.25,51.73.83.107
192.168.1.25,143.208.49.96
192.168.1.25,33.26.146.77
192.168.1.25,11.202.214.15
192.168.1.25,107.234.143.214
192.168.1.182,13.107.6.158
192.168.1.25,105.25.218.143
192.168.1.25,16.180.168.234
192.168.1.25,208.234.199.208
192.168.1.25,146.244.229.96
192.168.1.25,244.234.225.77
192.168.1.25,208.20.143.159
192.168.1.211,192.168.1.1
192.168.1.25,72.131.231.64
192.168.1.25,107.173.108.107
192.168.1.25,182.227.254.114
192.168.1.25,83.93.168.11
192.168.1.25,168.93.10.170
192.168.1.25,202.160.191.183
192.168.1.25,64.204.158.77
192.168.1.25,30.1.106.168
192.168.1.25,64.183.93.182
192.168.1.25,93.119.95.151
192.168.1.25,173.89.64.182
192.168.1.25,199.228.16.217
192.168.1.25,108.64.143.183
192.168.1.25,57.20.135.234
192.168.1.25,17.20.72.56
192.168.1.25,190.77.17.11
192.168.1.25,218.227.26.53
192.168.1.25,201.214.202.191
192.168.1.25,57.227.37.219
192.168.1.25,242.171.254.231
192.168.1.25,64.82.45.3
192.168.1.25,168.74.77.158
192.168.1.25,159.96.102.64
192.168.1.25,146.171.26.227
192.168.1.25,204.173.254.131
192.168.1.25,102.11.64.16
192.168.1.25,131.46.125.191
192.168.1.25,77.131.159.218
192.168.1.25,16.77.183.200
192.168.1.25,219.7.201.248
192.168.1.81,192.168.1.1
192.168.1.25,240.16.136.26
192.168.1.25,100.168.57.213
192.168.1.25,146.101.7.202
192.168.1.25,39.167.32.129
192.168.1.11,203.107.6.88
192.168.1.25,30.226.222.119
192.168.1.25,131.4.93.244
192.168.1.25,168.11.159.22
192.168.1.25,114.204.65.158
192.168.1.25,129.20.10.202
192.168.1.25,168.96.244.168
192.168.1.25,37.114.20.84
192.168.1.25,145.186.184.96
192.168.1.25,244.131.25.30
192.168.1.25,208.143.234.136
192.168.1.25,202.162.26.214
192.168.1.48,34.107.221.82
192.168.1.86,34.160.144.191
192.168.1.86,34.98.75.36
192.168.1.86,35.201.103.21
34.160.144.191,192.168.1.86
35.201.103.21,192.168.1.86
34.98.75.36,192.168.1.86
192.168.1.81,18.214.52.141
192.168.1.7,54.230.163.16
192.168.1.43,18.173.129.67
18.173.129.67,192.168.1.43
192.168.1.1,192.168.1.9
192.168.1.43,52.223.46.90
192.168.1.43,52.223.46.90
192.168.1.81,18.214.52.141
192.168.1.214,172.67.68.187
192.168.1.172,157.240.241.20
192.168.1.9,192.168.1.1
192.168.1.1,192.168.1.9
192.168.1.48,35.232.111.17
192.168.1.48,35.232.111.17
192.168.2.4,35.232.111.17
192.168.2.4,35.232.111.17
192.168.3.5,35.232.111.17
192.168.3.5,35.232.111.17
192.168.1.185,185.125.190.48
192.168.1.185,185.125.190.48
192.168.1.9,192.168.1.1
192.168.1.172,157.240.241.20
192.168.1.25,7.225.49.10
192.168.1.112,192.168.1.255
192.168.1.211,192.168.1.1
192.168.1.25,101.95.32.32
192.168.1.25,131.109.19.22
192.168.1.25,4.182.187.102
192.168.1.25,200.212.96.16
192.168.1.25,16.107.51.107
192.168.1.25,190.166.100.216
192.168.1.182,20.25.241.18
192.168.1.25,32.64.234.45
192.168.1.25,41.114.20.93
192.168.1.25,77.228.131.131
192.168.1.25,11.228.114.109
192.168.1.25,39.106.107.168
192.168.1.25,53.118.212.231
192.168.1.25,20.29.233.214
192.168.1.25,96.25.168.159
192.168.1.25,131.37.88.22
192.168.1.81,3.33.190.236
192.168.1.25,10.254.108.228
192.168.1.25,168.219.208.95
192.168.1.108,216.220.52.141
192.168.1.182,10.210.164.183
192.168.1.211,192.168.1.1
192.168.1.25,51.72.184.180
192.168.1.25,1.51.54.26
192.168.1.25,131.30.160.168
192.168.1.25,64.228.26.93
192.168.1.25,185.213.146.126
192.168.1.25,131.131.77.228
192.168.1.25,20.77.191.105
192.168.1.25,180.114.96.106
192.168.1.25,72.213.208.131
192.168.1.25,37.100.225.116
192.168.1.81,52.23.140.126
192.168.1.25,184.55.51.1
192.168.1.25,96.184.107.208
192.168.1.25,85.207.228.114
192.168.1.25,96.77.186.4
192.168.1.25,159.91.107.168
192.168.1.25,202.65.234.182
192.168.1.25,15.114.226.190
192.168.1.25,26.228.185.227
192.168.1.25,37.116.168.65
192.168.1.25,218.26.103.168
192.168.1.25,72.216.219.125
192.168.1.25,18.96.158.158
192.168.1.25,64.109.218.198
192.168.1.214,8.8.8.8
192.168.1.25,10.228.227.234
192.168.1.25,22.159.160.54
192.168.1.25,18.55.228.102
192.168.1.25,145.64.107.161
192.168.1.25,184.186.158.227
192.168.1.25,204.101.81.64
192.168.1.25,254.1.16.174
192.168.1.182,10.110.199.222
192.168.1.25,100.171.25.26
192.168.1.25,131.168.186.107
192.168.1.25,107.212.228.20
192.168.1.25,131.55.151.131
192.168.1.25,22.171.182.29
192.168.1.48,172.64.41.4
192.168.1.25,53.107.199.64
192.168.1.25,187.131.208.20
192.168.1.25,30.19.11.237
192.168.1.25,162.100.93.86
192.168.1.172,192.168.1.255
192.168.1.25,107.131.26.10
192.168.1.172,157.240.241.20
192.168.1.25,100.173.225.239
192.168.1.25,26.180.216.108
192.168.1.25,199.85.242.64
192.168.1.25,16.227.228.131
192.168.1.183,255.255.255.255
192.168.1.25,254.122.72.77
192.168.1.45,239.255.255.250
192.168.1.7,18.218.78.141
192.168.1.25,22.173.37.180
192.168.1.214,8.8.8.8
192.168.1.48,34.107.221.82
192.168.1.25,7.77.201.213
192.168.1.25,136.101.228.10
209.206.49.216,192.168.1.87
192.168.1.25,29.102.64.254
209.206.49.216,192.168.1.87
192.168.1.211,192.168.1.1
192.168.1.25,167.29.15.107
209.206.49.216,192.168.1.87
8.6.0.1,8.0.6.4
209.206.49.216,192.168.1.87
192.168.1.81,18.214.52.141
192.168.1.172,162.254.193.102
209.206.49.216,192.168.1.87
192.168.1.25,72.204.180.171
192.168.1.214,8.8.8.8
192.168.1.25,208.209.212.254
192.168.1.25,16.228.16.158
192.168.1.25,217.131.158.77
192.168.1.25,108.239.228.228
192.168.1.25,160.116.125.212
192.168.1.25,244.207.106.219
192.168.1.25,37.20.143.244
192.168.1.25,184.234.0.82
192.168.1.25,93.190.37.184
192.168.1.25,173.228.77.101
192.168.1.43,54.163.146.218
192.168.1.25,77.114.26.16
209.206.49.216,192.168.1.87
192.168.1.7,224.0.0.251
192.168.1.25,125.100.131.102
192.168.1.25,16.106.227.55
209.206.49.216,192.168.1.87
209.206.49.216,192.168.1.87
192.168.1.25,65.213.143.184
192.168.1.89,192.168.1.1
192.168.1.25,102.49.228.214
192.168.1.1,192.168.1.9
192.168.1.25,107.107.228.83
192.168.1.25,159.86.186.30
192.168.1.25,22.225.102.183
192.168.1.25,29.206.131.107
192.168.1.25,56.130.168.109
192.168.1.25,159.161.11.190
192.168.1.25,131.183.114.15
192.168.1.48,34.107.221.82
192.168.1.25,107.138.181.55
192.168.1.25,168.93.101.228
192.168.1.25,190.20.26.118
192.168.1.25,244.129.108.64
192.168.1.25,82.64.130.227
192.168.1.25,219.20.77.244
192.168.1.25,11.26.69.83
192.168.1.25,114.208.254.239
192.168.1.25,22.225.216.187
192.168.1.25,55.227.126.107
192.168.1.25,64.131.198.64
192.168.1.25,30.136.228.131
192.168.1.25,32.228.7.244
192.168.1.25,116.109.222.109
192.168.1.211,192.168.1.1
192.168.1.25,22.206.107.83
192.168.1.182,10.210.105.221
192.168.1.25,64.174.131.226
192.168.1.25,77.41.77.11
192.168.1.25,180.182.183.229
192.168.1.25,26.73.89.77
192.168.1.25,184.182.81.225
192.168.1.25,99.145.240.0
192.168.1.25,114.143.54.96
192.168.1.25,131.228.228.30
192.168.1.25,26.168.190.22
192.168.1.25,101.20.26.190
192.168.1.25,146.22.225.30
158.115.141.166,192.168.1.87
192.168.1.25,114.159.167.93
192.168.1.25,29.107.213.199
18.197.213.150,192.168.1.9
